SNo.,Company Name,Domain Name,Overview,,Founded Year,City,State,Country,Is Funded,Total Funding (USD),Latest Funded Date,Latest Funded Amount,Latest Funded Amount (USD),Company Stage,Average days between last funding and acquisition,Is Acquired,Acquired By,Acquired Date,Acquired Year,Acquired Amount (USD),Acquisition Type,Is IPO,Editor's Rating,Editor's Rated Date,Soonicorn Club Status,Soonicorn Club Marked Date,Soonicorn Club Event Date,Practice Areas,Feed Name,Business Models,Institutional Investors,Angel Investors,Description,All Geographies Served,Company Emails,Company Phone Numbers,Founders' Info,Founders' Email Ids,Links to Founders' Profiles,Link to Employees,Annual Revenue (USD),Annual Revenue as on,Is Incorporated,Incorporation Date,Paid-up Capital at Incorporation (USD),Founders at Incorporation,Acquisition List,Stock Ticker,IPO Date,IPO Amount (USD),Revenue at IPO (USD),Market Capital at IPO (USD),Stock Price at IPO (USD),Is Deadpooled,Deadpooled Date,Part Of,Same As,,,,Website,Website Status,Website Status Last Updated,LinkedIn,Twitter,Facebook,Blog Url,Tracxn URL,Date Added,Annual Net Profit (USD),Annual Net Profit as on,Annual EBITDA (USD),Annual EBITDA as on,Latest Valuation (USD),Latest Valuation as on,Total Employee Count,Total Employee Count as on,Tracxn Score,Revenue Multiple,Revenue Multiple as on,Special Flags : Yes,Special Flags : No,Special Flags : Unknown,In rounds sheet
500M+,Careem,careem.com,App-based platform for ride-hailing & on-demand delivery services,,2012,Dubai,Dubai,United Arab Emirates,Yes,"771,700,000",10/18/2018,$200M,"200,000,000",Acquired,157,Yes,uber.com,"mar. 24, 2019",2019,"3,100,000,000",Business Acquisition,No,5,"jun. 21, 2020",,,,"Consumer
Auto Tech
Travel and Hospitality Tech",Road Transport Tech,Road Transport Tech > Ride Hailing > Cars > Taxi > Intracity > Aggregator,"The Abraaj Group
Rakuten
Impulse
Daimler
STV
Rakuten Capital
Chowdahead
Endure Capital
Wamda
Saudi Telecom
Startup Intelligence Center
Wamda Capital
Iris Capital
DCM Ventures
Didi Chuxing
Alpha Venture Partners
Rakuten
Lumia Capital
Al Tayyar Travel Group
BECO Capital
Berytech
Kingdom Holding Company
Coatue
Arzan Venture Capital
STC Ventures
National Technology Enterprises Company",,"Careem is an app-based platform for ride-hailing & on-demand delivery services. The platform enables users to book their ride by providing location, passenger details & more. It offers features like real-time tracking, variant payment options & more. It also offers various services like food delivery, recharge services, courier/grocery delivery services & more. Their app is available for Android & iOS devices.","Ghana
Seychelles
Mauritius
Guinea
Mayotte
Israel
Lebanon
Djibouti
Sudan
Swaziland
Algeria
Benin
Comoros
Malawi
Iraq
Reunion
Libya
Zambia
Mali
Republic Of Congo
Nigeria
Kuwait
Congo
South Sudan
Qatar
Ethiopia
Burundi
Madagascar
Jordan
Tanzania
Togo
Guinea-bissau
Chad
Somalia
Central African Republic
Cape Verde
Uganda
Liberia
Iran
Rwanda
Senegal
Bahrain
Ivory Coast
Botswana
Cameroon
Angola
Sao Tome And Principe
Tunisia
United Arab Emirates
Gambia
Burkina Faso
Palestine
Gabon
Yemen
Equatorial Guinea
Namibia
South Africa
Oman
Mauritania
Sierra Leone
Kenya
Morocco
Egypt
Niger
Syria
Saudi Arabia
Mozambique
Zimbabwe
Lesotho
Pakistan",go@careem.com,,"Emre Tok; https://linkedin.com/in/emretok
Mudassir Sheikha; Co-Founder & CEO; mudassir@careem.com; http://linkedin.com/in/mudassirsheikha; Ex-McKinsey, DeviceAnywhere, Brience, Trilogy. USC Los Angeles BA 1999, Stanford University MS 2003
Abdulla Elyas; Co-Founder; abdulla@careem.com; http://linkedin.com/in/abdullaelyas/en; Ex-Co-Founder enwani, IDS Scheer Consulting, SAP, iWorld, Aixplain. RWTH Aachen University PhD 2008
Magnus Olsson; Co-Founder & MD; magnus@careem.com; https://linkedin.com/in/magnuskolsson; Ex-Founder Olsson Solutions, McKinsey, IMS Data. Lunds University 2006","mudassir@careem.com
abdulla@careem.com
magnus@careem.com","https://linkedin.com/in/emretok
http://linkedin.com/in/mudassirsheikha
http://linkedin.com/in/abdullaelyas/en
https://linkedin.com/in/magnuskolsson",http://www.linkedin.com/vsearch/p?f_CC=2852511,,,No,,,,"commut.co
deliverychacha.com
roundmenu.com
savaree.co
bikeshare.ae",,,,,,,No,,,,,,,https://www.careem.com,200,"ene. 11, 2021",https://linkedin.com/company/careem/about,https://twitter.com/careemuae,https://facebook.com/careem,http://blog.careem.com/en,https://tracxn.com/companies/AHdKpdx1LuKrhChjUlxAjg4XsNAZdyP1gyrOplC4CYU/careem.com,"ago. 17, 2015",,,,,,,,,79.54,,,"Consumer
Marketplace
Tech","Enterprise
SaaS
Software
Tech Hardware
Social Impact
Artificial Intelligence
Blockchain","Innovative
High IP
Goods
Service
Looks Scalable
Chain
Not for Profit",0
500M+,AliExchange,aliexchange.com,Cryptocurrency exchange platform,,2018,Tallinn,Harju,Estonia,No,,NA,,,Acquired,,Yes,fopay.io,"dic. 15, 2019",2019,"2,900,000,000",Business Acquisition,No,,,,,,FinTech,Cryptocurrencies,Cryptocurrencies > Financial Services > Investment Industry > Crypto Exchanges,,,,Estonia,,,,,,,,,No,,,,,,,,,,,No,,,,,,,https://www.aliexchange.com,403,"ene. 26, 2021",,,,,https://tracxn.com/companies/kIJNRGyPebgrCA_1Q8g49C7-xAFHBMVD6uv4YSwUwHU/aliexchange.com,"dic. 17, 2019",,,,,,,,,11.93,,,"Tech
Consumer
Blockchain","Enterprise
Marketplace
SaaS
Software
Tech Hardware
Social Impact
Artificial Intelligence","Innovative
High IP
Goods
Service
Looks Scalable
Chain
Not for Profit",0
500M+,BIGO,bigo.sg,Video-based social media platform and related services provider,,2014,Singapore,Singapore,Singapore,Yes,"272,000,000",6/5/2018,$272M,"272,000,000",Acquired,273,Yes,yy.com,"mar. 05, 2019",2019,"1,452,778,383",Business Acquisition,No,5,"dic. 01, 2020",,,,"Consumer
Media & Entertainment",Social Platforms,Social Platforms > App Studio,"Morningside Venture Capital
Gaorong Capital
Bertelsmann Asia Investment Fund
Ping An Ventures
YY",David Xueling Li,"Bigo is a video-based social media platform and related services provider involved in live-broadcasting, vocal social media, short video platform, etc. Its product portfolio includes ""Bigo Live"", which is a tool enabling users to live broadcast their content like videos, audio messages, and photos. ""Cube TV"", which is a mobile gaming-focused streaming service. ""Like"", which is an app for editing and sharing short videos.",Singapore,customer_sg@bigo.sg,+65-63519330,Jason Hu; CEO,,,,,,No,,,,,,,,,,,No,,,,,,,https://www.bigo.sg,200,"ene. 17, 2021",,http://twitter.com/supportbigo,,,https://tracxn.com/companies/hJJDlu7Ru96iyjHUFBfHfBmA-U80_fVP8fLU4uYFeoY/bigo.sg,"ene. 10, 2020",,,,,,,,,49.84,,,"Consumer
Tech
Software","Enterprise
Marketplace
SaaS
Tech Hardware
Social Impact
Artificial Intelligence
Blockchain","Innovative
High IP
Goods
Service
Looks Scalable
Chain
Not for Profit",0
500M+,Getnet,getnet.com.br,mPOS software and hardware solution for offline retailers,,2013,"Sao Paulo
Porto Alegre",Estado Do Rio Grande Do Sul,"Brazil
Brazil",Yes,,NA,,,Acquired,,Yes,santander.com,"abr. 07, 2014",2014,"1,100,000,000",Business Acquisition,No,4,"jul. 24, 2019",,,,"Retail
FinTech","In Store Retail Tech
Payments","In Store Retail Tech > Payments > POS
Payments > Business Payments > POS Payments > POS Payment Terminal > Hardware",Santander,,"Getnet offers mPOS software and hardware solution for offline retailers. Its features include order and inventory management, accounting, marketing tools, reporting & analytics and others. The company also offers POS terminals. Its mobile apps are available for Android and iOS. It is a part of the Santander group.",Brazil,,+55-8006488000,"Pedro Coutinho; CEO; pcoutinho@getnet.com.br; http://linkedin.com/in/pedro-coutinho-92209626; ex- Banco Santander, Itau Unibanco, National Bank. Northwestern University 2013, Harvard University 2017","pcoutinho@getnet.com.br
pedro@abecs.org.br",http://linkedin.com/in/pedro-coutinho-92209626,http://www.linkedin.com/vsearch/p?f_CC=63245,,,No,,,,,,,,,,,No,,,,,,,https://site.getnet.com.br:443/,200,"ene. 12, 2021",http://linkedin.com/company/getnet-br,http://twitter.com/getnetbrasil,http://facebook.com/getnetbrasil,,https://tracxn.com/companies/lfgdElLjjVPp8wxcX0hHRgXq7pUPtYO7g5WxGpm6k7w/getnet.com.br,"sep. 04, 2018",,,,,,,,,57.42,,,"Tech
Enterprise
Tech Hardware","Consumer
Marketplace
SaaS
Social Impact
Artificial Intelligence","Software
Innovative
High IP
Goods
Service
Looks Scalable
Chain
Not for Profit
Blockchain",0
500M+,Lazada,lazada.com,Online retailer offering multi-category products,,2012,Singapore,Singapore,Singapore,Yes,"700,000,000",11/29/2014,$254M,"253,630,000",Acquired,500,Yes,alibabagroup.com,"abr. 12, 2016",2016,"1,000,000,000",Business Acquisition,No,5,"jun. 24, 2020",,,,"Retail
Covid-19",Horizontal E-Commerce,Horizontal E-Commerce > Retailer,"Verlinvest
Nova Founders Capital
Rocket Internet
Kinnevik
Access Technology Ventures
HV Capital
Temasek
Tengelmann Ventures
Tesco
jpmorganmf.com
BAce Capital
Global Founders Capital
ATM Capital
Summit Partners
Access Industries",,"Lazada is an online retailer offering multi-category products. The product catalog includes electronics, home appliances, household goods, toys, sports equipment, beauty, fashion, and more. It offers free returns, customer service, and warranty service","Indonesia
Thailand
Singapore
Vietnam
Philippines
Malaysia",,,"Chun Li; CEO; chun.li@lazada.com; https://linkedin.com/in/chun-li-10b0631; Ex-Alibaba Group, PayPal, eBay, Quova, Qwest Communications. Peking University 1988, The Ohio State University MS 1994
Maximilian Bittner; Founder; http://linkedin.com/in/maximilianbittner; CEO Vestiaire Collective, Alibaba Group, ex-3i Group, Morgan Stanley. University College London BSc 2001, Kellogg School of Management MBA 2007",chun.li@lazada.com,"https://linkedin.com/in/chun-li-10b0631
http://linkedin.com/in/maximilianbittner",http://www.linkedin.com/vsearch/p?f_CC=2725478,"35,115,762","dic. 31, 2018",No,,,,"lamido.co.id
redmart.com
lamido.com.ph",,,,,,,No,,,,,,,https://www.lazada.com/en/,200,"ene. 13, 2021",http://linkedin.com/company/lazada,http://twitter.com/lazadasg,,,https://tracxn.com/companies/7VeYkx3H9VZvVHNI_Gq3MdHo45WdQTpkRA1ceotXpS4/lazada.com,"nov. 02, 2015","-34,448,092","dic. 31, 2018",,,,,,,74.70,,,"Tech
Consumer","Marketplace
Enterprise
SaaS
Blockchain
Artificial Intelligence
Social Impact
Tech Hardware
Software","Innovative
High IP
Goods
Service
Looks Scalable
Chain
Not for Profit",0
500M+,NGINX,nginx.com,High Performance web server and load balancer,,2011,Moscow,Moscow,Russia,Yes,"84,000,000",6/20/2018,$43M,"43,000,000",Acquired,264,Yes,f5.com,"mar. 11, 2019",2019,"670,000,000",Business Acquisition,No,4,"nov. 21, 2020",,,,,,,"MSD Capital
Fenghou Capital
Telstra Ventures
Goldman Sachs
New Enterprise Associates
E.ventures
Blue Cloud Ventures
Index Ventures
Infinity Venture Partners
Runa Capital
Foley Ventures
Acorn Pacific Ventures
Runa Capital","Aaron Levie
Gus Robertson","NGINX is an open source Internet infrastructure software. Provides load balancing functionality, Content Caching and web server for the websites, regarded as the most popular web server with 40%+ websites running on NGINX. NGINX software offers support services and NGINX plus edition which includes",Russia,,,Andrew Alexeev; Co-Founder; andrew@nginx.com; http://linkedin.com/profile/view; Ex- Comstar and Seimen,andrew@nginx.com,http://linkedin.com/profile/view,http://www.linkedin.com/vsearch/p?f_CC=2962671,,,No,,,,zokets.com,,,,,,,No,,,,,,,https://www.nginx.com,200,"ene. 13, 2021",http://linkedin.com/company/nginx,http://twitter.com/nginx,http://facebook.com/nginxinc,http://nginx.com/blog,https://tracxn.com/companies/X7zY0RbaMnBZBWRyISH_7-tuVNiyJRItDIc_djDEfmk/nginx.com,"mar. 17, 2017",,,,,,,,,65.68,,,"Tech
Enterprise","Consumer
Marketplace
SaaS","Software
Tech Hardware
Social Impact
Innovative
Artificial Intelligence
High IP
Goods
Service
Looks Scalable
Chain
Not for Profit
Blockchain",0
500M+,Grupo ZAP,grupozap.com,Provider of solutions for the real estate industry,,2018,Sao Paulo,,Brazil,Yes,,NA,,,Acquired,,Yes,olx.com.br,"mar. 03, 2020",2020,"646,352,000",Business Acquisition,No,4,"jul. 25, 2019",,,,"Consumer
Real Estate and Construction Tech",Residential Real Estate Tech,Residential Real Estate Tech > Listings,"Bracket Capital
Monashees",,"Grupo ZAP is a provider of technological solution and services for the real estate industry. The brands owned by the company are namely SuaHouse, DataZap, FipeZap, Zap, VivaReal, among others. SuaHouse is a CRM and marketing solution that enables users to create listings, market properties, generate leads, and more. DataZap: is a provider of real estate data & intelligence solution; VivaReal: is a real estate portal; Zap: an online platform to find real estate properties; are some of the company's solution. It also offers apps for Android and iOS phones.",Brazil,,,"Lucas Vargas; Founder & CEO; lucas.vargas@grupozap.com; https://linkedin.com/in/lucasvargas; Ex- CEO  VivaReal,  Co- CEO Groupon, Co-Founder Deu Samba, Banco Santander. Federal University of Rio de Janeiro BBA 2005, Military Engineering Institute BSc 2006, Harvard Business School MBA 2011",lucas.vargas@grupozap.com,https://linkedin.com/in/lucasvargas,,,,No,,,,,,,,,,,No,,,,,,,https://www.grupozap.com,200,"ene. 24, 2021",https://linkedin.com/company/grupo-zap/about,,,,https://tracxn.com/companies/u268qhpTpbxYLOPlMsn6PFFTl5wPae3Ir6NomZ_Q4hs/grupozap.com,"feb. 01, 2019",,,,,,,,,46.69,,,"Tech
Consumer
Enterprise
SaaS
Software","Marketplace
Tech Hardware
Social Impact
Artificial Intelligence","Innovative
High IP
Goods
Service
Looks Scalable
Chain
Not for Profit
Blockchain",0
500M+,99,99app.com,App-based ride-hailing platform,,2012,Sao Paulo,,Brazil,Yes,"380,499,913",7/5/2017,$137M,"137,499,948",Acquired,182,Yes,didichuxing.com,"ene. 03, 2018",2018,"600,000,000",Business Acquisition,No,5,"jul. 25, 2019",,,,"Consumer
Auto Tech
Travel and Hospitality Tech",Road Transport Tech,Road Transport Tech > Ride Hailing > Cars > Taxi > Intracity > Aggregator,"SoftBank Corp
Didi Chuxing
SoftBank Group
Canary
Riverwood Capital
Tiger Global Management
Monashees
qualcomm.co.in
GE32 Capital",,"99 (formerly known as 99Taxis) is an app-based ride-hailing platform in Brazil. Enables users to search for an available cab in the vicinity, see estimated fares, and book services on the platform after providing relevant details. Users can also track the driver in real-time and make online payments. Its mobile app is available for iOS platform.",Brazil,,,"Peter Fernandez; CEO; peter@99app.com; http://linkedin.com/in/petermfernandez; ex-Google, AdMob, Bain & Company. Stanford University, Duke University BA 2006
Renato Freitas; Co-Founder; http://linkedin.com/in/renatofreitas; Ex- Founder 99, Patents, ebaH. University of Sao Paulo 2006",peter@99app.com,"http://linkedin.com/in/petermfernandez
http://linkedin.com/in/renatofreitas",http://www.linkedin.com/vsearch/p?f_CC=2635078,,,No,,,,,,,,,,,No,,,,,,,https://99app.com/,200,"ene. 26, 2021",http://linkedin.com/company/99taxis,http://twitter.com/99,http://facebook.com/voude99,http://blog.99corp.com.br/?__hstc=159046373.df146e024e67b4f717e36c971e7a23ed.1529494303275.1529494303275.1529494303275.1&__hssc=159046373.1.1529494303275&__hsfp=2483212641&_ga=2.227231129.568788748.1529494301-304924113.1529494301,https://tracxn.com/companies/6Ec_N0J8WBuXrG82-nAu41nD1w2ldPtvx3NbC13TkcM/99app.com,"jun. 20, 2018",,,,,,,,,65.19,,,"Tech
Consumer
Marketplace","Enterprise
SaaS
Artificial Intelligence
Software
Tech Hardware
Social Impact","Innovative
High IP
Goods
Service
Looks Scalable
Chain
Not for Profit
Blockchain",0
1111,TradeFx,tradeforex1.com,Forex and CFD broker,,2011,Singapore,Singapore,Singapore,No,,NA,,,Acquired,,Yes,playtech.com,"abr. 02, 2015",2015,"492,849,000",Business Acquisition,No,2,"jul. 25, 2019",,,,FinTech,Investment Tech,Investment Tech > Online Trading Platforms > Stocks > Regular Trading,,,"TradeFx is an online CFD and Forex broker. Provides desktop, mobile as well as web-based trading platform to allow their clients to access the market. Offers trading in various financial assets including stocks, commodities, forex, and indices.",Singapore,support@tradeforex1.com,,,,,,,,No,,,,,,,,,,,No,,,,,,,https://www.tradeforex1.com,200,"ene. 28, 2021",,,,,https://tracxn.com/companies/bFegjXD_pmVZVtG5JV7osncCiXY13UOE5iiEsIWilUo/tradeforex1.com,"mar. 01, 2018",,,,,,,,,16.48,,,"Tech
Consumer","Enterprise
Marketplace
SaaS","Software
Tech Hardware
Social Impact
Innovative
Artificial Intelligence
High IP
Goods
Service
Looks Scalable
Chain
Not for Profit
Blockchain",0
1433,Onwards Media Group,onwardsmediagroup.com,Overlay CDN Service and video encoding services,,2011,Singapore,Singapore,Singapore,Yes,,NA,,,Acquired,,Yes,golden-glass.com,"nov. 19, 2015",2015,"469,143,000",Business Acquisition,No,,,,,,"Enterprise Infrastructure
Media & Entertainment","Enterprise Networking
OTT Video","Enterprise Networking > CDN
OTT Video > Video Distribution",Aetius Capital,,"Onwards Media Group provides software solutions for  video delivery. It provides CDN solution for receiving and retransmitting. IT also provides audio and video from encoder and decoder solutions for videos. It also supports redundancy live and VOD sources; and Onwards Media Playback, a flash media playback solution. It also provides Video Hosting API, a Platform as a Service that provides API, documentation, and testing tools for developers; and media server, Live Encoder, and OVS media playback designing solutions.",Singapore,sales@onwardsmg.com,,"He Hin Hoong; Founder & MD; http://linkedin.com/in/he-hin-hoong-91225a; ex-founder P2Cache , Internet Security Systems",,http://linkedin.com/in/he-hin-hoong-91225a,,,,No,,,,,,,,,,,No,,,,,,,https://onwardsmediagroup.com/,200,"ene. 20, 2021",https://www.linkedin.com/company/onwards-media-group-pte-ltd,,,,https://tracxn.com/companies/VywV0ji87MfIaWx27XUuqWQALmEkkFDpEgFKQA7egUE/onwardsmediagroup.com,"ago. 05, 2016",,,,,,,,,9.31,,,"Enterprise
Tech","Consumer
Marketplace
SaaS
Artificial Intelligence","Software
Tech Hardware
Social Impact
Innovative
High IP
Goods
Service
Looks Scalable
Chain
Not for Profit
Blockchain",0
