company_permalink,company_name,company_category_list,company_country_code,company_state_code,company_region,company_city,funding_round_permalink,funding_round_type,funding_round_code,funded_at,raised_amount_usd
/organization/-fame,#fame,Media,IND,16,Mumbai,Mumbai,/funding-round/9a01d05418af9f794eebff7ace91f638,venture,B,2015-01-05,10000000
/organization/-qounter,:Qounter,Application Platforms|Real Time|Social Network Media,USA,DE,DE - Other,Delaware City,/funding-round/22dacff496eb7acb2b901dec1dfe5633,venture,A,2014-10-14,
/organization/-qounter,:Qounter,Application Platforms|Real Time|Social Network Media,USA,DE,DE - Other,Delaware City,/funding-round/b44fbb94153f6cdef13083530bb48030,seed,,2014-03-01,700000
/organization/-the-one-of-them-inc-,"(THE) ONE of THEM,Inc.",Apps|Games|Mobile,,,,,/funding-round/650b8f704416801069bb178a1418776b,venture,B,2014-01-30,3406878
/organization/0-6-com,0-6.com,Curated Web,CHN,22,Beijing,Beijing,/funding-round/5727accaeaa57461bd22a9bdd945382d,venture,A,2008-03-19,2000000
/organization/004-technologies,004 Technologies,Software,USA,IL,"Springfield, Illinois",Champaign,/funding-round/1278dd4e6a37fa4b7d7e06c21b3c1830,venture,,2014-07-24,
/organization/01games-technology,01Games Technology,Games,HKG,,Hong Kong,Hong Kong,/funding-round/7d53696f2b4f607a2f2a8cbb83d01839,undisclosed,,2014-07-01,41250
/organization/0ndine-biomedical-inc,Ondine Biomedical Inc.,Biotechnology,CAN,BC,Vancouver,Vancouver,/funding-round/2b9d3ac293d5cdccbecff5c8cb0f327d,seed,,2009-09-11,43360
/organization/0ndine-biomedical-inc,Ondine Biomedical Inc.,Biotechnology,CAN,BC,Vancouver,Vancouver,/funding-round/954b9499724b946ad8c396a57a5f3b72,venture,,2009-12-21,719491
/organization/0xdata,H2O.ai,Analytics,USA,CA,SF Bay Area,Mountain View,/funding-round/383a9bd2c04f7038bb543ccef5ba3eae,seed,,2013-05-22,3000000
/organization/0xdata,H2O.ai,Analytics,USA,CA,SF Bay Area,Mountain View,/funding-round/3bb2ee4a2d89251a10aaa735b1180e44,venture,B,2015-11-09,20000000
/organization/0xdata,H2O.ai,Analytics,USA,CA,SF Bay Area,Mountain View,/funding-round/ae2a174c06517c2394aed45006322a7e,venture,,2013-01-03,1700000
/organization/0xdata,H2O.ai,Analytics,USA,CA,SF Bay Area,Mountain View,/funding-round/e1cfcbe1bdf4c70277c5f29a3482f24e,venture,A,2014-07-19,8900000
/organization/1,One Inc.,Mobile,USA,CA,SF Bay Area,San Francisco,/funding-round/03b975068632eba5bfdb937ec8c07a68,seed,,2014-02-05,150000
/organization/1,One Inc.,Mobile,USA,CA,SF Bay Area,San Francisco,/funding-round/5de6d8828aef7d925d97918d15727670,undisclosed,,2013-02-05,
/organization/1,One Inc.,Mobile,USA,CA,SF Bay Area,San Francisco,/funding-round/e82464f22241715dd1a6c77241055ed1,seed,,2011-07-20,1000050
/organization/1-2-3-listo,"1,2,3 Listo",E-Commerce,CHL,12,Santiago,Las Condes,/funding-round/6de4609e894495105bc791ed64361288,seed,,2013-02-18,40000
/organization/1-4-all,1-4 All,Entertainment|Games|Software,USA,NC,NC - Other,Connellys Springs,/funding-round/e97a192e13ea0ee3c4f71136b4f3ec16,equity_crowdfunding,,2013-04-21,
/organization/1-618-technology,1.618 Technology,Networking|Real Estate|Web Hosting,USA,FL,Orlando,Orlando,/funding-round/83b8f4c7d37ecef5e001a5e953bf461a,equity_crowdfunding,,2014-01-22,
/organization/1-800-dentist,1-800-DENTIST,Health and Wellness,USA,CA,Los Angeles,Los Angeles,/funding-round/5274aacc211163fc7c86539ce94bbacc,undisclosed,,2010-08-19,
/organization/1-800-doctors,1-800-DOCTORS,Health and Wellness,USA,NJ,Newark,Iselin,/funding-round/9eb8c7790a0c200d79e75785d1c4aa12,convertible_note,,2011-03-02,1750000
/organization/1-800-publicrelations-inc-,"1-800-PublicRelations, Inc.",Internet Marketing|Media|Public Relations,USA,NY,New York City,New York,/funding-round/11c228f58831bc7ed337ef69ecc560c2,private_equity,,2015-02-01,6000000
/organization/1-mainstream,1 Mainstream,Apps|Cable|Distribution|Software,USA,CA,SF Bay Area,Cupertino,/funding-round/b952cbaf401f310927430c97b68162ea,venture,,2015-03-17,5000000
/organization/1-of-99,1 of 99,Entertainment|Games,USA,CA,SF Bay Area,Mountain View,/funding-round/b5c811f561cfb5701cd5b1762120bbc3,convertible_note,,2014-12-13,100000
/organization/10-20-media,10-20 Media,E-Commerce,USA,MD,Baltimore,Woodbine,/funding-round/436874dc54b54460f99f44c06e50990a,debt_financing,,2011-01-11,800000
/organization/10-20-media,10-20 Media,E-Commerce,USA,MD,Baltimore,Woodbine,/funding-round/8025ee9c11a586eac4a234ddec7beb30,debt_financing,,2009-06-18,500000
/organization/10-20-media,10-20 Media,E-Commerce,USA,MD,Baltimore,Woodbine,/funding-round/a884bf8326b9fd59789c0f74a28dbc3b,debt_financing,,2011-12-28,500000
/organization/10-20-media,10-20 Media,E-Commerce,USA,MD,Baltimore,Woodbine,/funding-round/d205f5416ce55e126beda3ed2bf2c2cd,debt_financing,,2010-03-30,250000
/organization/10-minutes-with,10 Minutes With,Education,GBR,H9,London,London,/funding-round/0faccbbcc5818dc5326469f13f5a8ac8,venture,A,2014-10-09,4000000
/organization/10-minutes-with,10 Minutes With,Education,GBR,H9,London,London,/funding-round/f245a74b4c54610ae843e17bdf4d1113,seed,,2013-01-01,400000
/organization/1000-corks,1000 Corks,Search,USA,OR,"Portland, Oregon",Lake Oswego,/funding-round/8f4fa70e24269ddd8bdf6658906b356b,seed,,2011-08-23,40000
/organization/1000-markets,1000 Markets,Art|E-Commerce|Marketplaces,USA,WA,Seattle,Seattle,/funding-round/ce6749b6441f52ccaf38b6d5578779fd,seed,,2009-05-15,500000
/organization/1000chi,Beijing 1000CHI Software Technology,Mobile,,,,,/funding-round/854fae13c5b26b2ea6b32b06c2e5890c,angel,,2010-04-01,43923865
/organization/1000lookz,1000Lookz,Beauty,IND,25,Chennai,Chennai,/funding-round/e07f6e580046d00c7aeb33fafb9d90a3,venture,,2013-07-22,
/organization/1000memories,1000memories,Curated Web,USA,CA,SF Bay Area,San Francisco,/funding-round/502bd0e50c27616995e4bdad24605ef8,venture,A,2011-02-16,2520000
/organization/1000memories,1000memories,Curated Web,USA,CA,SF Bay Area,San Francisco,/funding-round/f5fb428ed1e63321f88b3e646ba85f00,seed,,2010-01-01,15000
/organization/1000museums-com,1000museums.com,Curated Web,USA,MA,MA - Other,Lenox,/funding-round/01c1aa44619ae45a16e3098fc73facfa,debt_financing,,2013-04-08,647879
/organization/1000museums-com,1000museums.com,Curated Web,USA,MA,MA - Other,Lenox,/funding-round/0953b01a028ac4cd075415554cb363b4,debt_financing,,2014-09-19,500000
/organization/1000museums-com,1000museums.com,Curated Web,USA,MA,MA - Other,Lenox,/funding-round/13be128d655076a025221d7fddc90d68,venture,,2009-10-14,265940
/organization/1000museums-com,1000museums.com,Curated Web,USA,MA,MA - Other,Lenox,/funding-round/6aeb32ab3fc05db2b606d7a2466e8c09,venture,,2014-01-15,2906832
/organization/1000museums-com,1000museums.com,Curated Web,USA,MA,MA - Other,Lenox,/funding-round/6dcccfea326e6add866bf67aafb0a7df,convertible_note,,2014-12-01,
/organization/1000museums-com,1000museums.com,Curated Web,USA,MA,MA - Other,Lenox,/funding-round/89317984885b44f02e4befb9dc2e588c,venture,,2014-08-01,1500000
/organization/1000museums-com,1000museums.com,Curated Web,USA,MA,MA - Other,Lenox,/funding-round/adf2f3272af9f552b87e01f10f0b9234,venture,,2014-02-01,
/organization/1000museums-com,1000museums.com,Curated Web,USA,MA,MA - Other,Lenox,/funding-round/f8e256ceacabe73fa5d4c217f00f50b3,debt_financing,,2015-11-13,332800
/organization/1000museums-com,1000museums.com,Curated Web,USA,MA,MA - Other,Lenox,/funding-round/fd1b3064232ba9b3cfb5653a619e82e8,venture,,2011-04-05,642000
/organization/1001-menus,ZenChef,Local Businesses|Restaurants,FRA,A8,Paris,Paris,/funding-round/6364929e6f6c94921f9c853f53b10b7a,seed,,2012-12-15,390000
/organization/1001-menus,ZenChef,Local Businesses|Restaurants,FRA,A8,Paris,Paris,/funding-round/645b4cd895450b8e0268027cd7813047,venture,B,2015-11-04,6602694
/organization/1001-menus,ZenChef,Local Businesses|Restaurants,FRA,A8,Paris,Paris,/funding-round/8025123b90c1ab687f9857ffe18bfd3b,venture,A,2013-11-13,1736910
/organization/1001-menus,ZenChef,Local Businesses|Restaurants,FRA,A8,Paris,Paris,/funding-round/9d6619bf66478dd8bf19bfc8dc237770,seed,,2012-12-27,132169
/organization/1001-menus,ZenChef,Local Businesses|Restaurants,FRA,A8,Paris,Paris,/funding-round/b6c28ea4ebe32db7083052cf87e7c368,venture,A,2013-10-25,1800000
/organization/1001pharmacies-com,1001pharmacies.com,Cosmetics|Marketplaces,FRA,A9,Montpellier,Montpellier,/funding-round/a21fc4d20200f43e3a25fd9cfc7c1482,venture,A,2015-07-09,8900000
/organization/1006-tv,1006.tv,Games|Media,CHN,22,Beijing,Beijing,/funding-round/a3631227d5232aa8c2303f252c4f1f87,angel,,2011-01-01,
/organization/1006-tv,1006.tv,Games|Media,CHN,22,Beijing,Beijing,/funding-round/b6aeb7401ec6993f92a16cbca153b600,venture,B,2014-07-31,10000000
/organization/1006-tv,1006.tv,Games|Media,CHN,22,Beijing,Beijing,/funding-round/c4dd206906e8f6834dde0eb9681002ac,venture,A,2013-01-01,
/organization/100du-tv,100du.tv,Hospitality,CHN,23,Shanghai,Shanghai,/funding-round/46a9d3228f69c036e8076f1362ac58cd,venture,C,2010-08-13,
/organization/100du-tv,100du.tv,Hospitality,CHN,23,Shanghai,Shanghai,/funding-round/8797d60368bb0227f0d0ab4c72aef886,venture,A,2008-01-07,3000000
/organization/100e-com,100e.com,Education,CHN,22,Beijing,Beijing,/funding-round/22a86670d1055d7bafce665b27e91871,venture,,2006-01-01,3000000
/organization/100e-com,100e.com,Education,CHN,22,Beijing,Beijing,/funding-round/a136f7eb873dfb13cec839fef7d7f51e,venture,,2006-09-01,1500000
