,Sr. No.,Date (dd/mm/yyyy),Startup Name,Industry/ Vertical,Sub-Vertical,City / Location,Investors’ Name,Investment Type,Amount (in USD)
148,35,10/06/2015,Guiddoo,Travel Guide Mobile App,Mumbai,"Pawan Borle, SVP Fly Dubai & Others",Seed Funding,N/A,
149,36,10/06/2015,Voonik,Fashion Ecommerce store,Bangalore,"Sequoia Capital, Seedfund",Private Equity,"5,000,000",Series A
150,37,11/06/2015,AdStringO,Mobile Compression Software,Mumbai,"Arihant Patni, Vishal Khare,  Viswanath Ramachandran",Seed Funding,"350,000",
151,38,11/06/2015,Faircent.com,Peer to Peer Lending platform,Gurgaon,M&S Partners Pte. Ltd,Seed Funding,"250,000",Pre-Series A
152,39,12/06/2015,La Renon,Global Healthcare products,Ahmedabad,Sequoia Capital,Private Equity,"16,000,000",Series A
153,40,15/06/2015,Homelane,Home Furnishing Solutions,Bangalore,Sequoia Capital,Private Equity,"50,000,000",Series B
154,41,15/06/2015,iSTAR,Skill Training & Placement Platform,Bangalore,Unitus Seed Fund,Private Equity,N/A,Series A
155,42,15/06/2015,Shippr,Intra-City Logistics service,Bangalore,i2india Pvt Ltd,Seed Funding,"500,000",
156,43,16/06/2015,FoodAbhi,online tiffin service aggregator,Mumbai,Group of angel investors,Seed Funding,N/A,
157,44,16/06/2015,Karma Recycling,Electronic Goods recycling service,Delhi,"Infuse Ventures, Low Carbon Enterprise Fund",Private Equity,N/A,Series A
158,45,16/06/2015,CouponRaja,Online Coupon & comparison platform,Mumbai,"Mahesh Pratapneni, Pallab Chatterjee & others",Seed Funding,"500,000",
159,46,17/06/2015,Babychakra,Parents & Kids Online platform,Mumbai,"Mumbai Angels, Patni Family Office, Singapore Angel Network, Karan Maheshwari, Jatin Aneja, Kishor Ganji, Roopa Nath",Seed Funding,N/A,
160,47,17/06/2015,Jiffstore,Online Grocery platform,Bangalore,"Unitus Seed Fund, Times Internet",Seed Funding,N/A,additional funding round
161,48,17/06/2015,MyDentist,Dental Clinic chain,Mumbai,"LGT Group, Asian Healthcare fund, Seedfund",Private Equity,"8,200,000",Series C
162,49,18/06/2015,Moovo,On-Demand Logistics Service,New Delhi,YouWeCan Ventures,Seed Funding,N/A,
163,50,18/06/2015,Fracktal Works,3D Printer Manufacturer,Bangalore,Neoteric Infomatique Limited,Private Equity,"3,000,000",Series A
164,51,18/06/2015,Hansa Customer Equity,IT / Customer Engagement Consulting,Mumbai,ASK Pravi,Private Equity,"5,000,000",Series A
165,52,18/06/2015,HealthifyMe,Health & Fitness App,Bangalore,"Gopal Srinivasan, Sashi Reddy, Amit Gupta, Pallav Nadhani",Private Equity,N/A,Series A
166,53,18/06/2015,CAKART.in,Online Education Marketplace,Bangalore,Sunil Maheshwari & group of investors,Seed Funding,N/A,
167,54,19/06/2015,Housejoy,Home services marketplace,Bangalore,Matrix Partners,Private Equity,"4,000,000",Series A
168,55,19/06/2015,FundsIndia.com,Financial Services Platform,Chennai,"Faering Capital, Foundation Capital, Inventus Capital Partners",Private Equity,"11,000,000",Series C
169,56,20/06/2015,Cupick,Social Network for Artists,Bangalore,Group of Angel Investors from US/India,Seed Funding,"120,000",
170,57,20/06/2015,Tracxn,Startup funding platform,Bangalore,"Sachin Bansal, Bunny Bansal & other investors",Private Equity,"10,000,000",Series A
171,58,21/06/2015,Holachef,Food Delivery Platform,Mumbai,"Kalaari Capital, India Quotient",Private Equity,"3,100,000",Series A
172,59,22/06/2015,belong,Data Driven recruitment recommendation,Bangalore,"Kunal Bahl, Rohit Bansal, Blume Ventures, Phanindra Sama, Raju Reddy",Private Equity,"5,000,000",Series A
173,60,22/06/2015,Ixigo,Travel Search Engine,Gurgaon,Micromax Informatics,Private Equity,N/A,Strategic Investment
174,61,22/06/2015,SkillAngels,Brain Games Platform,Chennai,Sprout Angels LLP,Seed Funding,N/A,
175,62,22/06/2015,Vidgyor,Video Advertisement Platform,Bangalore,AngelPrime,Seed Funding,"500,000",
176,63,22/06/2015,Banihal,Algorithmic Match Making Platform,New Delhi / California,Dr David Cheriton,Seed Funding,N/A,
177,64,23/06/2015,Goodservice,Mobile Chat based concierge service,New Delhi,Sequoia Capital,Private Equity,"1,600,000",Series A
178,65,23/06/2015,Treebo,Online Budget Hotel Booking Service,Bangalore,"Matrix Partners India, SAIF Partners",Private Equity,"6,000,000",Series A
179,66,23/06/2015,EduKart,Online education marketplace,New Delhi,"Holostik Group, YouWeCan Ventures, 500 Startups, Vijay Shekhar Sharma, Manish Kheterpal, Amit Patni",Private Equity,"1,000,000",Series A
180,67,23/06/2015,Healthians.com,Preventive healthcare services,Hyderabad,YouWeCan Ventures,Seed Funding,N/A,
181,68,24/06/2015,LabInApp,Science Learning App,Bangalore,Unitus Seed Fund,Seed Funding,N/A,
182,69,24/06/2015,Syona Cosmetics,Beauty and Wellness platform,Chennai,Chennai Angels,Seed Funding,N/A,
183,70,24/06/2015,Sigrid Education,Online Education Platform,Noida,Oliphans Capital,Seed Funding,N/A,
184,71,24/06/2015,Indix,SaaS product intelligence platform,,"Nokia Growth Partners, Nexus Venture Partners, Avalon Ventures",Private Equity,"15,000,000",Series C
185,72,24/06/2015,The Porter,Logistics Tech,Mumbai,"Sequoia Capital, Kae Capital, Anupam Mittal, Sandeep Tandon",Private Equity,"5,500,000",Series A
186,73,24/06/2015,Retention.ai,App Analytics platform,Bangalore,"Mercury Fund, Anshu Sharma, Pratyush Prasanna, Robert Winters & others",Seed Funding,"500,000",
187,74,25/06/2015,Fusion Microfinance,Micro Finance Platform,New Delhi,"Development finance institution Belgian Investment Company, Oikocredit",Private Equity,"8,600,000",Series C
188,75,25/06/2015,Zinka,Freight logistics platform,Bangalore,"Accel Partners, Flipkart",Private Equity,"6,000,000",Series A
189,76,26/06/2015,CreditMantri,Credit Management Services,Chennai,"IDG Ventures India, Elevar Equity, Accion Venture Lab",Private Equity,"2,500,000",Series A
190,77,26/06/2015,GetMyPeon,Hyperlocal Handyman Services,Mumbai,Undisclosed investors,Seed Funding,"250,000",
191,78,29/06/2015,UrbanClap,Hyperlocal services marketplace,New Delhi,"SAIF Partners,  Accel Partners",Private Equity,"10,000,000",Series A
192,79,29/06/2015,StayGlad,Beauty services Mobile Marketplace,Bangalore,"Tracxn Labs, Sahil Barua",Seed Funding,N/A,
193,80,29/06/2015,AdWyze,Marketing / Advertising Automation platform,Bangalore,Mape Advisory,Seed Funding,"1,000,000",
194,81,29/06/2015,Zimmber,Hyperlocal Handyman Services,Mumbai,"Naveen Tiwari, Mohit Saxena, Amit Gupta, Piyush Shah, Manish Dugar",Seed Funding,"400,000",
195,82,30/06/2015,Buttercups,Online Lingerie platform,Bangalore,"Kanwaljit Singh, Angie Mahtaney, Manoj Varghese",Seed Funding,N/A,
196,83,30/06/2015,RailYatri,Railways Information Mobile app,Bangalore,"Helion Ventures, Omidiyar Network, Blume Ventures and Ujama",Private Equity,N/A,Pre-Series A
197,84,30/06/2015,aagaar.com,Hyperlocal grocery delivery,Gurgaon,Group of Investors,Seed Funding,N/A,
198,85,30/06/2015,Flatchat,Flat rental Mobile App,Bangalore,Commonfloor,Private Equity,"2,500,000",Strategic Funding
199,86,30/06/2015,MyCFO,Wealth Management Platform,Mumbai,Sameer Koticha,Private Equity,"1,500,000",Series A
200,,,,,,,,,
201,1,01/7/2016,RazorPay,Consumer Internet,Online Payment Gateway,Bangalore,MasterCard,Private Equity,N/A
202,2,01/7/2016,DarwinBox,Technology,HR Software Services Startup,Hyderabad,"3one4 Capital, Tracxn Labs, Aaruha Technology Fund, Endiya Partners",Seed Funding,N/A
203,3,01/07/2016,Venture Catalysts,Consumer Internet,Seed Investment & Innovation Platform,Mumbai,Zaffiro Ventures,Seed Funding,"500,000"
204,4,01/07/2016,PressPlay TV,Consumer Internet,Video Content Discovery Platform,New Delhi,"Sequoia Capital, SD Ventures, Vistaar Investment Advisors Pvt. Ltd.",Private Equity,N/A
205,5,02/07/2016,Playment,Consumer Internet,Mobile Marketplace for Crowdsourced Work,Bangalore,SAIF Partners,Private Equity,"700,000"
206,6,04/07/2016,WealthTrust,Consumer Internet,Wealth Management App,Mumbai,India Quotient,Seed Funding,N/A
207,7,04/07/2016,Curefit,Consumer Internet,Online Preventive Healthcare Platform,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital",Private Equity,"15,000,000"
208,8,04/07/2016,StitchWood,eCommerce,Custom Furniture Online,Mumbai,Deepak Gupta,Seed Funding,"200,000"
209,9,04/07/2016,Grab.in,Logistics,hyperlocal logistics service,Mumbai,Aramex Ventures Llc,Private Equity,"2,000,000"
210,10,04/07/2016,Fulfil.IO,Consumer Internet,Cloud Based ERP Software,US,Rajan Anandan,Seed Funding,N/A
211,11,04/07/2016,NeoGrowth,Finance,SME Lending platform,Mumbai,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,"16,000,000"
212,12,05/07/2016,SeeDoc,Consumer Internet,Video Based Doctor Consulting platform App,Gurgaon,YourNest Angel Fund  & Others,Private Equity,"1,000,000"
