Index,Company,Sector,Valuation,Entry,Location
1,Nykaa,E-Commerce,1.2,2020,Mumbai
2,BigBasket,Groceries,1,2019,Bangalore
3,Rivigo,Logistics Services,1,2019,Delhi NCR
4,Delhivery,Logistics Services,1.6,2019,Delhi NCR
5,Dream11,Gaming,1.1,2019,Mumbai
6,Druva Software,Enterprise Tech,1,2019,Pune
7,Ola Electric,Mobility,1.1,2019,Bangalore
8,Lenskart,E-Commerce,1.5,2019,Bangalore
9,Icertis,Enterprise Tech,1,2019,Pune
10,Citius Tech,Healthcare,1,2019,Mumbai
11,Paytm Mall,E-Commerce,3,2017,Delhi NCR
12,Swiggy,Foodtech,3.5,2018,Bangalore
13,Byju's,Edtech,8.2,2018,Bangalore
14,Zoho,Enterprise Tech,2.23,2018,Chennai
15,PhonePe,Fintech,7,2018,Bangalore
16,Freshworks,Enterprise Tech,3.5,2018,Chennai
17,BillDesk,Fintech,1.5,2018,Mumbai
18,Udaan,E-Commerce,2.8,2018,Bangalore
19,PolicyBazaar,Fintech,1,2018,Delhi NCR
20,Oyo Rooms,Traveltech,10,2018,Delhi NCR
21,Renew Power,Cleantech,2,2017,Delhi NCR
22,Makemytrip,Traveltech,2.69,2016,Delhi NCR
23,Hike,Messaging,1.4,2016,Delhi NCR
24,Shopclues,E-Commerce,1.1,2016,Delhi NCR
25,Ola,Mobility,6,2014,Bangalore
26,Zomato,Foodtech,3,2015,Delhi NCR
27,Quikr,Classifieds,1.6,2015,Bangalore
28,Paytm,Fintech,16,2015,Delhi NCR
29,Snapdeal,E-Commerce,6.5,2014,Delhi NCR
30,Info Edge,Classifieds,5,2014,Delhi NCR
31,Mu Sigma,Enterprise Tech,1.5,2013,Bangalore
32,Flipkart,E-Commerce,21,2012,Bangalore
33,InMobi,Adtech,1,2014,Bangalore
34,Pine Labs,Fintech,1.6,2018,Delhi NCR
