Name,Profile URL,Signal,Location,Market,Website,Employees,Stage,Total Raised,Joining_Month,Joining_Year,latitude,longitude
Atooma,https://angel.co/company/atooma,5,Rome,Application Platforms,http://www.atooma.com,1-10,,,Jun ,2012,41.894802,12.4853384
Connectifier,https://angel.co/company/connectifier,5,Sunnyvale,Semantic Search,https://www.connectifier.com/about,11-50,Acquired,13600000,Dec ,2012,37.3688301,-122.0363496
Mavrx,https://angel.co/company/mavrx,5,San Francisco,Agriculture,http://www.mavrx.co,11-50,Series A,22420000,Dec ,2012,37.7792808,-122.4192363
MindMeld,https://angel.co/company/mindmeld,5,San Francisco,Artificial Intelligence,http://www.mindmeld.com/,11-50,Acquired,15400000,Oct ,2012,37.7792808,-122.4192363
Biomech,https://angel.co/company/biomech,3,Campbell,Fitness,http://streetworkoutapp.com,1-10,Seed,100000,Sep ,2012,,
720°,https://angel.co/company/720-1,3,Helsinki,Corporate Wellness,http://www.720.fi,1-10,,,Aug ,2013,60.1674086,24.9425683
Watchsend,https://angel.co/company/watchsend,5,Mountain View,User Testing,http://www.watchsend.com,1-10,Acquired,,Aug ,2013,37.3893889,-122.0832101
tarla.io,https://angel.co/company/tarlaio,3,Tallinn,Insurance,http://www.tarla.io,1-10,,,Nov ,2013,59.4372155,24.7453688
Science Lab,https://angel.co/company/science-lab,3,Cheltenham,Medical Devices,http://ie.linkedin.com/in/nicholasmcnulty/,1-10,,,Jul ,2013,51.8995685,-2.0711559
DDStocks,https://angel.co/company/ddstocks,3,Montreal,Personal Finance,http://www.ddstocks.com,1-10,,12000,Nov ,2013,45.4972159,-73.6103642
Retention.ai (Formerly BetaGlide),https://angel.co/company/retention-ai-formerly-betaglide,5,Palo Alto,Android,http://www.retention.ai,11-50,Acquired,,Sep ,2013,37.4443293,-122.1598465
KinectHealth,https://angel.co/company/kinecthealth,3,Blacksburg,Fitness,http://fit.net,1-10,Seed,18500,Apr ,2013,37.2296566,-80.4136767
Prepify,https://angel.co/company/prepify,5,Austin,Test Prep,http://prepify.me,1-10,Seed,40000,Oct ,2013,30.2711286,-97.7436995
ViSSee,https://angel.co/company/vissee,3,Zurich,3D,http://viss.ee,11-50,Seed,1100000,Aug ,2013,47.3723941,8.5423328
Angelfish,https://angel.co/company/angelfish,4,,Advertising Exchanges,http://www.angelfish.io,11-50,Seed,500000,Apr ,2013,34.220389,70.3800314
Triggerfox,https://angel.co/company/triggerfox,5,Toronto,Contact Management,http://www.influitive.com,11-50,Acquired,2600000,Dec ,2013,43.653963,-79.387207
Senndex,https://angel.co/company/senndex,4,Atlanta,Insurance,http://www.Senndex.com,1-10,Seed,70000,Feb ,2013,33.7490987,-84.3901849
Husky Code,https://angel.co/company/husky-code,1,Samara,Manufacturing,http://husky-code.com,1-10,,,Nov ,2013,53.198627,50.113987
Human API,https://angel.co/company/humanapi,5,San Mateo,Developer Tools,http://humanapi.co,11-50,,,May ,2013,37.496904,-122.3330573
Tracegolf,https://angel.co/company/tracegolf,4,,Entertainment Industry,http://tracegolf.com,11-50,Seed,500000,Feb ,2013,34.220389,70.3800314
Mnemon.io,https://angel.co/company/mnemon-io,3,San Francisco,Semantic Search,http://www.mnemon.io,1-10,,,Oct ,2013,37.7792808,-122.4192363
Dwellar,https://angel.co/company/dwellar,3,Mumbai,Commercial Real Estate,http://www.dwellar.com,11-50,,,Apr ,2013,18.9387711,72.8353355
Jenu.in,https://angel.co/company/jenu-in,3,Fremont,High Tech,http://jenu.in,1-10,,,Nov ,2013,37.5482697,-121.9885719
Keen Home,https://angel.co/company/keen-home,5,New York City,Energy Efficiency,http://www.keenhome.io,11-50,,1640000,Oct ,2013,40.7127281,-74.0060152
Brewbot,https://angel.co/company/brewbot,5,Belfast,Consumer Electronics,http://www.brewbot.io,11-50,,1500000,Nov ,2013,40.7127281,-74.0060152
HunterCo,https://angel.co/company/hunterco,3,Joinville,Social Recruiting,http://www.hunterco.com.br,1-10,,,Aug ,2013,-26.3044898,-48.8486726
GMDH Shell,https://angel.co/company/gmdh-shell,3,,Enterprise Resource Planning,http://www.gmdhshell.com,1-10,,,Jun ,2013,34.220389,70.3800314
Butterfleye,https://angel.co/company/butterfleye,5,San Mateo,Consumer Electronics,http://www.GetButterfleye.com,11-50,Acquired,,Dec ,2013,37.496904,-122.3330573
Placemeter,https://angel.co/company/placemeter,5,New York City,Real Time,http://www.placemeter.com,11-50,Acquired,7843000,Jun ,2013,40.7127281,-74.0060152
WIREWAX,https://angel.co/company/wirewax,5,London,Computer Vision,http://www.wirewax.com,11-50,Series A,,Sep ,2013,51.5073219,-0.1276474
TermScout,https://angel.co/company/termscout,4,Boulder,Sales Automation,http://www.termscout.com,11-50,Series A,3800000,Dec ,2013,40.0149856,-105.2705456
SKULLY,https://angel.co/company/skully,5,San Francisco,Augmented Reality,http://www.skully.com,11-50,Series A,11000000,Apr ,2013,37.7792808,-122.4192363
Keepy,https://angel.co/company/keepy,5,San Francisco,Families,http://www.keepy.me,1-10,Seed,1100000,Feb ,2013,37.7792808,-122.4192363
Sonation,https://angel.co/company/sonation,5,Boston,Music,http://www.sonation.net,1-10,Acquired,,Sep ,2013,42.3602534,-71.0582912
Synetiq,https://angel.co/company/synetiq,5,Budapest,Neuroscience,http://synetiq.net,1-10,Seed,,Aug ,2013,47.4983815,19.0404707
Sphere,https://angel.co/company/sphere-1,5,San Francisco,Social Media Platforms,http://www.thesphere.com,1-10,Seed,2250000,Jul ,2013,37.7792808,-122.4192363
RADAR,https://angel.co/company/radar,5,San Diego,Retail Technology,https://goradar.com/,11-50,Seed,21830000,Sep ,2013,32.7174209,-117.1627714
Fitho,https://angel.co/company/fitho,3,Delhi,Fitness,http://www.fitho.in,11-50,Acquired,,May ,2013,28.6517178,77.2219388
Fit3D,https://angel.co/company/fit3d,5,San Mateo,Fitness,http://www.fit3d.com,11-50,Seed,5390000,Feb ,2013,37.496904,-122.3330573
Spire Health,https://angel.co/company/spirehealth,5,San Francisco,Medical Devices,https://spirehealth.com,11-50,,9500000,Mar ,2013,37.7792808,-122.4192363
Lumific,https://angel.co/company/lumific,5,Sydney,Photo Sharing,https://www.lumific.com,1-10,Acquired,250000,Nov ,2013,-33.8548157,151.2164539
Ecovent Systems ,https://angel.co/company/ecovent,5,Boston,Internet of Things,http://www.ecoventsystems.com,11-50,Series A,9705000,Nov ,2013,42.3602534,-71.0582912
Cienaga Systems,https://angel.co/company/cienaga-systems-inc,4,,Predictive Analytics,http://www.cienagasystems.net,1-10,Seed,120000,Oct ,2013,34.220389,70.3800314
Reveel Technologies,https://angel.co/company/reveel,4,San Francisco,Retail Technology,http://web.reveel.it,11-50,Seed,2220000,Oct ,2013,37.7792808,-122.4192363
ViClone,https://angel.co/company/viclone,3,Barcelona,B2B,http://www.viclone.com,11-50,Seed,1470000,Jul ,2013,41.3828939,2.1774322
Baarzo,https://angel.co/company/baarzo-2,5,Palo Alto,Video,http://www.baarzo.com,11-50,Acquired,,Dec ,2013,37.4443293,-122.1598465
Eigen Innovations,https://angel.co/company/eigen-innovations-inc,4,Fredericton,Industrial,http://www.eigeninnovations.com,11-50,Seed,2018000,Dec ,2013,45.966425,-66.645813
Geniusly,https://angel.co/company/geniusly,5,Medellín,Emerging Markets,http://geniusly.co,1-10,,,Jul ,2013,6.2443382,-75.573553
SalesChoice,https://angel.co/company/saleschoice,3,Toronto,Sales Automation,http://www.saleschoice.com,11-50,,250000,Oct ,2013,43.653963,-79.387207
Datawiz.io,https://angel.co/company/datawiz-io,4,,Retail Technology,http://datawiz.io,11-50,,,Jun ,2013,34.220389,70.3800314
pingwell,https://angel.co/company/pingwell,4,Palo Alto,Crowdsourcing,http://www.pingwell.com,1-10,Seed,175000,May ,2013,37.4443293,-122.1598465
Fastree3D,https://angel.co/company/fastree3d,4,,Robotics,http://www.fastree3d.com,1-10,Seed,400000,Nov ,2013,34.220389,70.3800314
3Gear Systems,https://angel.co/company/3gear-systems,5,San Francisco,Consumer Electronics,http://www.threegear.com,1-10,Acquired,2250000,May ,2013,37.7792808,-122.4192363
Mintzone,https://angel.co/company/mintzone,4,Gurgaon,,http://mintzone.in,1-10,,,Jan ,2013,28.4646148,77.0299194
Visibly,https://angel.co/company/opternative,5,Chicago,Eyewear,https://www.govisibly.com/,11-50,Series A,9100000,Aug ,2013,41.8755616,-87.6244212
Tritl,https://angel.co/company/tritl,4,San Francisco,In-Context Commerce,http://tritl.com,1-10,,,Sep ,2013,37.7792808,-122.4192363
SportXast,https://angel.co/company/sportxast,4,Los Alamos,Video,http://sportxast.com,1-10,,630000,Nov ,2013,35.8814009,-106.2989958
Nextome,https://angel.co/company/nextome,3,Berlin,Location Based Services,http://www.nextome.net,1-10,,230000,Oct ,2013,52.5170365,13.3888599
LAFORGE Optical,https://angel.co/company/laforge-optical,4,Los Angeles,Augmented Reality,http://www.laforgeoptical.com,1-10,Seed,2300000,Jun ,2013,34.0536909,-118.2427666
Next Glass,https://angel.co/company/next-glass-2,4,Wilmington,Wine And Spirits,http://www.nextglass.co,11-50,Seed,75000,Apr ,2013,39.7459468,-75.546589
Gini,https://angel.co/company/gini,5,Munich,Fin Tech,http://www.gini.net,11-50,Seed,,Jan ,2013,48.1371079,11.5753822
TopLog,https://angel.co/company/toplog,5,Halifax,Enterprise Security,http://toplog.ca,1-10,Seed,400000,May ,2013,53.7229229,-1.8604874
SportHold,https://angel.co/company/sporthold,5,San Francisco,Fantasy Sports,http://www.sporthold.com,1-10,Seed,257000,Nov ,2013,37.7792808,-122.4192363
Transmetrics,https://angel.co/company/transmetrics,5,Bulgaria,Predictive Analytics,http://transmetrics.eu,11-50,,1865000,May ,2013,42.6073975,25.4856617
Compare and Share,https://angel.co/company/compare-and-share,4,Brighton,Sharing Economy,http://www.compareandshare.com/,11-50,Seed,410075,Jul ,2013,50.8220399,-0.1374061
Sentic Technologies,https://angel.co/company/sentic-technologies,4,Chicago,SaaS,http://www.sentictechnologies.com/,11-50,Seed,1785000,Nov ,2013,41.8755616,-87.6244212
Prisync,https://angel.co/company/prisync,4,,SaaS,http://www.prisync.com,1-10,Seed,180000,Jun ,2013,34.220389,70.3800314
Wizdee,https://angel.co/company/wizdee,3,Coimbra,Text Analytics,http://www.wizdee.com,11-50,Seed,1000000,Sep ,2013,40.2109801,-8.4292057
Gozaik ,https://angel.co/company/gozaik,3,Boston,Social Recruiting,http://WWW.GOZAIK.COM,1-10,Seed,,Apr ,2013,42.3602534,-71.0582912
BDEX,https://angel.co/company/big-data-exchange,3,Seattle,Identity Management,http://www.bdex.com/,11-50,,1500000,Sep ,2013,47.6038321,-122.3300624
CommutePays,https://angel.co/company/commutepays,4,Denver,Location Based Services,http://www.commutepays.com,11-50,,1100000,Oct ,2013,39.7392364,-104.9848623
www.girik.in,https://angel.co/company/www-girik-in,3,Hyderabad,Mobile Commerce,http://www.girik.in,11-50,Seed,30000,Apr ,2013,17.38878595,78.4610647345315
WeBRAND,https://angel.co/company/webrand,3,Los Angeles,Crowdsourcing,http://webrand.com,1-10,Seed,450000,Jun ,2013,34.0536909,-118.2427666
Brisk,https://angel.co/company/brisk,3,London,Location Based Services,http://briskapp.co.uk,1-10,Seed,65000,Jun ,2013,51.5073219,-0.1276474
TalkSession,https://angel.co/company/talksession,5,Honolulu,SaaS,http://www.talksession.com,1-10,,250000,Jan ,2013,21.304547,-157.8556764
RetentionGrid,https://angel.co/company/retentiongrid,5,Berlin,Loyalty Programs,http://retentiongrid.com,1-10,Seed,1867874,Aug ,2013,52.5170365,13.3888599
smarterkey,https://angel.co/company/smarterkey,4,London,Vacation Rentals,http://smarterkey.com,1-10,Seed,250000,May ,2013,51.5073219,-0.1276474
EnergyDeck,https://angel.co/company/energydeck,4,London,Energy Efficiency,http://www.energydeck.com,11-50,Seed,685000,Jun ,2013,51.5073219,-0.1276474
TixAlert ,https://angel.co/company/tixalert,4,San Diego,iPhone,http://www.tixalert.mobi,1-10,Seed,90000,Sep ,2013,32.7174209,-117.1627714
Qoints,https://angel.co/company/qoints,4,Toronto,Brand Marketing,http://www.qoints.com/,1-10,Seed,540000,May ,2013,43.653963,-79.387207
FLYR,https://angel.co/company/flyr,5,San Francisco,Finance Technology,http://flyrlabs.com/,51-200,Series B,13800000,Jan ,2013,37.7792808,-122.4192363
Loyalis,https://angel.co/company/loyalis,4,San Francisco,Loyalty Programs,https://loyalis.co,1-10,Seed,100000,Jul ,2013,37.7792808,-122.4192363
Jobspotting,https://angel.co/company/jobspotting,4,Berlin,Human Resources,https://jobspotting.com,11-50,Acquired,,Nov ,2013,52.5170365,13.3888599
Easysize,https://angel.co/company/easysize,4,Copenhagen,SaaS,http://www.easysize.me,1-10,Seed,500000,Mar ,2013,55.6867243,12.5700724
Hakka Labs,https://angel.co/company/hakka-labs,5,San Francisco,Social Media Platforms,http://hakkalabs.co/,1-10,,,May ,2013,37.7792808,-122.4192363
PUBLICFAST,https://angel.co/company/publicfast,5,San Francisco,Advertising Platforms,http://www.publicfast.com/,1-10,,300000,Dec ,2013,37.7792808,-122.4192363
Eviga,https://angel.co/company/eviga,3,San Ramon,Predictive Analytics,http://www.eviga.com/#!glyqa/ctjq,1-10,,,Mar ,2013,37.7799273,-121.9780153
MetricsCat,https://angel.co/company/metricscat,5,Tallinn,Mobile Commerce,http://metricscat.com,1-10,Seed,20000,Mar ,2013,59.4372155,24.7453688
Kiwi,https://angel.co/company/kiwi-ai,5,Toronto,Artificial Intelligence,http://kiwi.ai,1-10,Seed,2500000,Aug ,2013,43.653963,-79.387207
Cloth,https://angel.co/company/cloth,4,New York City,Big Data,http://www.clothapp.com,1-10,,,Nov ,2013,40.7127281,-74.0060152
beatdeck,https://angel.co/company/beatdeck,5,Los Angeles,Predictive Analytics,http://www.beatdeck.com,1-10,Seed,97000,May ,2013,34.0536909,-118.2427666
D square,https://angel.co/company/d-square,3,Hasselt,Manufacturing,http://www.dsquare.be,11-50,Series A,3900000,May ,2013,50.9303735,5.3378043
Grandata,https://angel.co/company/grandata,3,Palo Alto,Banking,http://grandata.com,11-50,Seed,1500000,Aug ,2013,37.4443293,-122.1598465
Outleads,https://angel.co/company/outleads,3,New York City,Lead Generation,http://www.outleads.com,1-10,Seed,30000,Nov ,2013,40.7127281,-74.0060152
Predikto,https://angel.co/company/predikto,4,Atlanta,Manufacturing,http://www.predikto.com,1-10,Series A,3640000,Sep ,2013,33.7490987,-84.3901849
QMENTA,https://angel.co/company/qmenta_inc,4,Boston,Neuroscience,http://www.qmenta.com,11-50,Seed,3000000,Jul ,2013,42.3602534,-71.0582912
Xendo,https://angel.co/company/xendo,4,San Francisco,Semantic Search,http://xen.do,1-10,Acquired,,Apr ,2013,37.7792808,-122.4192363
Aureus Analytics,https://angel.co/company/aureus-analytics,4,Singapore,Banking,http://www.aureusanalytics.com,11-50,,,Aug ,2013,1.340863,103.830391822121
COGNITUUM,https://angel.co/company/cognituum,4,New York City,Predictive Analytics,https://www.cognituum.com,1-10,,,Dec ,2013,40.7127281,-74.0060152
Framed Data,https://angel.co/company/framed-data,5,San Francisco,Data Mining,http://www.framed.io,1-10,Acquired,2000000,Aug ,2013,37.7792808,-122.4192363
Ignidata,https://angel.co/company/ignidata,4,Lisbon,Advertising Platforms,http://www.ignidata.com,1-10,,,Nov ,2013,38.7077507,-9.1365919
tuplejump,https://angel.co/company/tuplejump,3,Hyderabad,Predictive Analytics,http://www.tuplejump.com,1-10,,,Feb ,2013,17.38878595,78.4610647345315
Pryv,https://angel.co/company/pryv-1,5,Lausanne,Data Privacy,http://pryv.com,1-10,Seed,2385000,May ,2013,46.5218269,6.6327025
Upstream Analytics,https://angel.co/company/upstream-analytics-1,4,Washington DC,Crowdsourcing,http://upstream-analytics.com,1-10,,,Oct ,2013,38.8950092,-77.0365625
Springbot,https://angel.co/company/springbot,5,Atlanta,Big Data Analytics,http://www.springbot.com,11-50,Series B,19000000,Jan ,2013,33.7490987,-84.3901849
Peptineo,https://angel.co/company/peptineo,4,Albuquerque,Nanotechnology,http://www.peptineo.com,11-50,,,Jul ,2013,35.0841034,-106.6509851
