name,idea,location,start_date,operating_years,number_employees,status,latest_funding_round
Careem,"Careem is an app-based platform for ride-hailing & on-demand delivery services. The platform enables users to book their ride by providing location, passenger details & more. It offers features like real-time tracking, variant payment options & more. It also offers various services like food delivery, recharge services, courier/grocery delivery services & more. Their app is available for Android & iOS devices.",Dubai United Arab Emirates,2012,7.0,,Acquired,
AliExchange,Cryptocurrency exchange platform,Tallinn Estonia,2018,1.0,,Acquired,
BIGO,"Bigo is a video-based social media platform and related services provider involved in live-broadcasting, vocal social media, short video platform, etc. Its product portfolio includes ""Bigo Live"", which is a tool enabling users to live broadcast their content like videos, audio messages, and photos. ""Cube TV"", which is a mobile gaming-focused streaming service. ""Like"", which is an app for editing and sharing short videos.",Singapore Singapore,2014,5.0,,Acquired,
Getnet,"Getnet offers mPOS software and hardware solution for offline retailers. Its features include order and inventory management, accounting, marketing tools, reporting & analytics and others. The company also offers POS terminals. Its mobile apps are available for Android and iOS. It is a part of the Santander group.","Sao Paulo
Porto Alegre Brazil
Brazil",2013,1.0,,Acquired,
Lazada,"Lazada is an online retailer offering multi-category products. The product catalog includes electronics, home appliances, household goods, toys, sports equipment, beauty, fashion, and more. It offers free returns, customer service, and warranty service",Singapore Singapore,2012,4.0,,Acquired,
NGINX,"NGINX is an open source Internet infrastructure software. Provides load balancing functionality, Content Caching and web server for the websites, regarded as the most popular web server with 40%+ websites running on NGINX. NGINX software offers support services and NGINX plus edition which includes",Moscow Russia,2011,8.0,,Acquired,
Grupo ZAP,"Grupo ZAP is a provider of technological solution and services for the real estate industry. The brands owned by the company are namely SuaHouse, DataZap, FipeZap, Zap, VivaReal, among others. SuaHouse is a CRM and marketing solution that enables users to create listings, market properties, generate leads, and more. DataZap: is a provider of real estate data & intelligence solution; VivaReal: is a real estate portal; Zap: an online platform to find real estate properties; are some of the company's solution. It also offers apps for Android and iOS phones.",Sao Paulo Brazil,2018,2.0,,Acquired,
99,"99 (formerly known as 99Taxis) is an app-based ride-hailing platform in Brazil. Enables users to search for an available cab in the vicinity, see estimated fares, and book services on the platform after providing relevant details. Users can also track the driver in real-time and make online payments. Its mobile app is available for iOS platform.",Sao Paulo Brazil,2012,6.0,,Acquired,
TradeFx,"TradeFx is an online CFD and Forex broker. Provides desktop, mobile as well as web-based trading platform to allow their clients to access the market. Offers trading in various financial assets including stocks, commodities, forex, and indices.",Singapore Singapore,2011,4.0,,Acquired,
Onwards Media Group,"Onwards Media Group provides software solutions for  video delivery. It provides CDN solution for receiving and retransmitting. IT also provides audio and video from encoder and decoder solutions for videos. It also supports redundancy live and VOD sources; and Onwards Media Playback, a flash media playback solution. It also provides Video Hosting API, a Platform as a Service that provides API, documentation, and testing tools for developers; and media server, Live Encoder, and OVS media playback designing solutions.",Singapore Singapore,2011,4.0,,Acquired,
Cornershop,"Cornershop is an online platform offering on-demand grocery delivery services. It enables users to browse their favorite stores, order online, and get it delivered to their doorstep. Products include fruits & vegetables, bakery products, dairy products, and more. Its features include multi-store checkout, contact-free delivery, deals & discounts, and more. Its app is available on the Android and IOS platforms.",Mexico City Mexico,2015,4.0,,Acquired,
InstaShop,"Online platform of multi-category grocery products. Its product offerings include fruit & vegetables, seafood & meat, bakery products, and more. It also offers pet products, cosmetic products, flowers, medicine, and more. Its features include in-app payments, scheduled delivery, and more.",Dubai United Arab Emirates,2015,5.0,,Acquired,
Bestel,Provider of internet telephony and connectivity services,Mexico City Mexico,2015,-8.0,,Acquired,
Lion City Rentals,"Lion City Rentals or LCR is a car rental platform that acts as Uber's rental partner. Drivers with an appropriate driving license can take cars for rent from LCR and drive for Uber. The platform offers short-term rental contracts with different makes & models of vehicles. Drivers can register online, pay $500 as a refundable deposit, browse through different car models and rental fee to book a car. Rent is deducted at the end of the week from their Uber earnings.",Singapore Singapore,2015,2.0,,Acquired,
MediaLink,"MediaLink is a meeting place for journalists and businesses interested in finding each other. Helps in connecting businesses, journalists and sources. Claims to helps businesses, especially SMEs, to get more mileage out of their PR spend, by pitching to targeted and relevant media lists.",Singapore Singapore,2014,3.0,,Acquired,
Paystack,"Paystack provides payment processing solutions for businesses. It features digital payments, card payments, mobile money, recurring payments, QR based payments, POS terminals, bank transfer, and more. It also offers customers with fraud detection from fraudulent transaction & chargeback claims and reporting for accounting, reconciliation & audits.",Lagos Nigeria,2015,5.0,,Acquired,
Rollic,"Rollic Games is a mobile game developer and publisher. It has developed casual games in genres like strategy, action, puzzle, and sports games. The games developed by the company include Picker 3D, Water Shooty, Pixel Shot 3D, Touchdrawn, Zero21 Solitaire, and more. These games are available for Android and iOS users. It monetizes through in-app ads and purchases.",Istanbul Turkey,2018,2.0,,Acquired,
Iyzi Payments,"Iyzico provides payment solutions to e-commerce companies. It offers products Iyzicollect, a virtual POS; Iyziconnect, an integration & management panel for multiple POS systems, and more. It facilitates payments via credit/debit cards, wallets, or bank transfers.",Istanbul Turkey,2012,7.0,,Acquired,
Namshi,"Namshi is an online retailer of multi-category fashion products for men, women & kids. The product catalog includes apparel, footwear, bags, and accessories. A few of the brands associated with the company are Puma, Ella, Mango, Rimmel, Calvin Klein, and more. It also offers beauty products",Dubai United Arab Emirates,2011,6.0,,Acquired,
Linio,"Linio is an online marketplace offering multi category products. It offers a wide variety of products online in various categories, such as home electronics, technology, mobiles, entertainment, home, appliances, fashion, sporting goods, babies and toys, books, and personal care products.",Cuauhtemoc Mexico,2012,6.0,,Acquired,
Moka,"Moka provides mPOS software and hardware solutions for offline retailers. Its mPOS software has features like order & inventory management, staff management, business intelligence & analytics and more. The company charges a monthly subscription fee. Its mobile app is available for Android and iOS. It caters to businesses like retail, F & B, service businesses like salon & spas and more. Clients include Head & Brew, Jolie Clothing, Sekar Sari Salon & Spa, Hi Fries and more.",Jakarta Indonesia,2014,5.0,,Acquired,
